"MuseumCode","Barcode","Collectors","AdditionalCollectors","FieldNumber","Date","CalcFullName","LocalityNotes","Latitude","Longitude","LLResolution","QDS","LLChecked","DescriptionText"
"NH","NH0036724-0","Acocks, JPH","","11731","9/12/1945","Disa baurii Bolus","Piet Retief District, Transvaal. Near Brereton Post Office, Piet Retief area.","-26.9414778600","30.4420741600","5k","2630CD","True",""
"NH","NH0124055-0","Acocks, JPH","","11665","8/16/1945","Senegalia nigrescens (Oliv.) P.J.H.Hurter","Zululand District. Mahlabatini. 6 miles North of Mahlabatini.","-28.1530291000","31.4830139300","2k","2831AB","True","Tree."
"PRE","PRE0295426-0","Acocks, JPH","","14589","7/2/1948","Hermannia saccifera (Turcz.) K.Schum.","SWELLENDAM DIST.; MALAGAS; 10 MI. W. OF MALAGAS","-34.2930970000","20.5116190000","2k","3420BC","True",""
"PRE","PRE0311070-0","Acocks, JPH","","12374","2/1/1946","Diospyros whyteana (Hiern) F.White","MAGALIESBERG; BRITS DIST.; IN KLOOF ON N. SLOPES OF MAGALIESBERG JACKSONSTUIN","-25.7249790200","27.7653415300","2k","2527DB","True",""
"PRE","PRE0136776-0","Acocks, JPH","Hafstrom, AHF","H986","10/16/1936","Lycium pilifolium C.H.Wright","GRIQUALAND; BENOUDHEIDSFONTEIN","-28.7969950000","24.8074080000","2k","2824DD","True",""
"PRE","PRE0289074-0","Acocks, JPH","","11820","9/25/1945","Dovyalis rhamnoides (Burch. ex DC.) Burch. ex Harv. & Sond.","LOWER TUGELA DIST.; GROUTVILLE; NR. GROUTVILLE","-29.4090237200","31.2540173600","5k","2931AD","True",""
"PRE","PRE0459972-0","Acocks, JPH","","21562","9/18/1960","Drosanthemum speciosum (Haw.) Schwantes","RIVERSDALE DIV.; THE FISHERIES; OPENINGS IN DUNE BUSH","-34.3538900000","21.8802800000","2k","3421BD","True",""
"PRE","PRE0237191-0","Acocks, JPH","","16257","11/27/1951","Senecio acutifolius DC.","CRADOCK DIV.; 22 MI. SSE. OF CRADOCK","-33.5444068100","26.5446941100","2k","3326DA","True",""
"PRE","PRE0405484-0","Acocks, JPH","","21460","9/10/1960","Aspalathus tenuissima R.Dahlgren","HUMANSDORP DIV.; KROMME BAY","-34.1632487200","24.8316730800","2k","3424BB","True","Creeping, bright green. Flowers yellow."
"PRE","PRE0429443-0","Acocks, JPH","","18093","5/6/1955","Indigofera auricoma E.Mey.","AROAB DIST.; 3 MI. N. OF AROAB","-26.7683310000","19.6499630000","1000m","2619DC","True",""
